NUMNUTS;NUTS;NAZEVNUTS;KODCIS;CHODNOTA
0;"CZ";"Èeská republika";97;"19"
1000;"CZ01";"Praha";99;"213"
1100;"CZ010";"Hlavní mìsto Praha";100;"3018"
1199;"CZ0100";"Praha";101;"40924"
2000;"CZ02";"Støední Èechy";99;"221"
2100;"CZ020";"Støedoèeský kraj";100;"3026"
2101;"CZ0201";"Benešov";101;"40169"
2102;"CZ0202";"Beroun";101;"40177"
2103;"CZ0203";"Kladno";101;"40185"
2104;"CZ0204";"Kolín";101;"40193"
2105;"CZ0205";"Kutná Hora";101;"40207"
2106;"CZ0206";"Mìlník";101;"40215"
2107;"CZ0207";"Mladá Boleslav";101;"40223"
2108;"CZ0208";"Nymburk";101;"40231"
2109;"CZ0209";"Praha-východ";101;"40240"
2110;"CZ020A";"Praha-západ";101;"40258"
2111;"CZ020B";"Pøíbram";101;"40266"
2112;"CZ020C";"Rakovník";101;"40274"
3000;"CZ03";"Jihozápad";99;"230"
3100;"CZ031";"Jihoèeský kraj";100;"3034"
3101;"CZ0311";"Èeské Budìjovice";101;"40282"
3102;"CZ0312";"Èeský Krumlov";101;"40291"
3103;"CZ0313";"Jindøichùv Hradec";101;"40304"
3104;"CZ0314";"Písek";101;"40312"
3105;"CZ0315";"Prachatice";101;"40321"
3106;"CZ0316";"Strakonice";101;"40339"
3107;"CZ0317";"Tábor";101;"40347"
3200;"CZ032";"Plzeòský kraj";100;"3042"
3201;"CZ0321";"Domažlice";101;"40355"
3202;"CZ0322";"Klatovy";101;"40363"
3203;"CZ0323";"Plzeò-mìsto";101;"40371"
3204;"CZ0324";"Plzeò-jih";101;"40380"
3205;"CZ0325";"Plzeò-sever";101;"40398"
3206;"CZ0326";"Rokycany";101;"40401"
3207;"CZ0327";"Tachov";101;"40410"
4000;"CZ04";"Severozápad";99;"248"
4100;"CZ041";"Karlovarský kraj";100;"3051"
4101;"CZ0411";"Cheb";101;"40428"
4102;"CZ0412";"Karlovy Vary";101;"40436"
4103;"CZ0413";"Sokolov";101;"40444"
4200;"CZ042";"Ústecký kraj";100;"3069"
4201;"CZ0421";"Dìèín";101;"40452"
4202;"CZ0422";"Chomutov";101;"40461"
4203;"CZ0423";"Litomìøice";101;"40479"
4204;"CZ0424";"Louny";101;"40487"
4205;"CZ0425";"Most";101;"40495"
4206;"CZ0426";"Teplice";101;"40509"
4207;"CZ0427";"Ústí nad Labem";101;"40517"
5000;"CZ05";"Severovýchod";99;"256"
5100;"CZ051";"Liberecký kraj";100;"3077"
5101;"CZ0511";"Èeská Lípa";101;"40525"
5102;"CZ0512";"Jablonec nad Nisou";101;"40533"
5103;"CZ0513";"Liberec";101;"40541"
5104;"CZ0514";"Semily";101;"40550"
5200;"CZ052";"Královéhradecký kraj";100;"3085"
5201;"CZ0521";"Hradec Králové";101;"40568"
5202;"CZ0522";"Jièín";101;"40576"
5203;"CZ0523";"Náchod";101;"40584"
5204;"CZ0524";"Rychnov nad Knìžnou";101;"40592"
5205;"CZ0525";"Trutnov";101;"40606"
5300;"CZ053";"Pardubický kraj";100;"3093"
5301;"CZ0531";"Chrudim";101;"40614"
5302;"CZ0532";"Pardubice";101;"40622"
5303;"CZ0533";"Svitavy";101;"40631"
5304;"CZ0534";"Ústí nad Orlicí";101;"40649"
6000;"CZ06";"Jihovýchod";99;"264"
6100;"CZ063";"Kraj Vysoèina";100;"3107"
6101;"CZ0631";"Havlíèkùv Brod";101;"40657"
6102;"CZ0632";"Jihlava";101;"40665"
6103;"CZ0633";"Pelhøimov";101;"40673"
6104;"CZ0634";"Tøebíè";101;"40681"
6105;"CZ0635";"Žïár nad Sázavou";101;"40690"
6200;"CZ064";"Jihomoravský kraj";100;"3115"
6201;"CZ0641";"Blansko";101;"40703"
6202;"CZ0642";"Brno-mìsto";101;"40711"
6203;"CZ0643";"Brno-venkov";101;"40720"
6204;"CZ0644";"Bøeclav";101;"40738"
6205;"CZ0645";"Hodonín";101;"40746"
6206;"CZ0646";"Vyškov";101;"40754"
6207;"CZ0647";"Znojmo";101;"40762"
7000;"CZ07";"Støední Morava";99;"272"
7100;"CZ071";"Olomoucký kraj";100;"3123"
7101;"CZ0711";"Jeseník";101;"40771"
7102;"CZ0712";"Olomouc";101;"40789"
7103;"CZ0713";"Prostìjov";101;"40797"
7104;"CZ0714";"Pøerov";101;"40801"
7105;"CZ0715";"Šumperk";101;"40819"
7200;"CZ072";"Zlínský kraj";100;"3131"
7201;"CZ0721";"Kromìøíž";101;"40827"
7202;"CZ0722";"Uherské Hradištì";101;"40835"
7203;"CZ0723";"Vsetín";101;"40843"
7204;"CZ0724";"Zlín";101;"40851"
8000;"CZ08";"Moravskoslezsko";99;"281"
8100;"CZ080";"Moravskoslezský kraj";100;"3140"
8101;"CZ0801";"Bruntál";101;"40860"
8102;"CZ0802";"Frýdek-Místek";101;"40878"
8103;"CZ0803";"Karviná";101;"40886"
8104;"CZ0804";"Nový Jièín";101;"40894"
8105;"CZ0805";"Opava";101;"40908"
8106;"CZ0806";"Ostrava-mìsto";101;"40916"
9999;"";"Zahranièí";101;"40002"
