ID_OKRSKY;TYP_FORM;OPRAVA;CHYBA;OKRES;OBEC;OKRSEK;KC_1;TYPZASTUP;COBVODU;VOL_SEZNAM;VYD_OBALKY;ODEVZ_OBAL;PL_HL_CELK;POCET_VS;POC_VS_HL;KC_2;KODZASTUP
3773;1;0;0;1100;500054;1001;3;1;1;623;374;374;23164;29;24;24589;554782
7287;1;0;0;1100;500054;1001;3;2;1;623;374;374;8752;10;10;10145;500054
3774;1;0;0;1100;500054;1002;4;1;1;996;528;528;32222;29;24;34328;554782
7288;1;0;0;1100;500054;1002;4;2;1;996;528;528;12227;10;10;14301;500054
3775;1;0;0;1100;500054;1003;5;1;1;639;359;359;22074;29;24;23485;554782
7289;1;0;0;1100;500054;1003;5;2;1;639;359;359;8364;10;10;9743;500054
3776;1;0;0;1100;500054;1004;6;1;1;809;463;463;28826;29;28;30619;554782
7290;1;0;0;1100;500054;1004;6;2;1;809;463;463;10813;10;10;12570;500054
3777;1;0;0;1100;500054;1005;0;1;1;625;351;351;22041;29;21;23419;554782
7291;1;0;0;1100;500054;1005;0;2;1;625;351;351;8037;10;10;9386;500054
3778;1;0;0;1100;500054;1006;1;1;1;1151;598;598;35636;29;25;38038;554782
7292;1;0;0;1100;500054;1006;1;2;1;1151;598;598;13461;10;10;15830;500054
3779;1;0;0;1100;500054;1007;2;1;1;1028;499;499;30587;29;27;32670;554782
7293;1;0;0;1100;500054;1007;2;2;1;1028;499;499;11335;10;10;13383;500054
3780;1;0;0;1100;500054;1008;3;1;1;910;436;436;26648;29;25;28485;554782
7294;1;0;0;1100;500054;1008;3;2;1;910;436;436;9980;10;10;11784;500054
3781;1;0;0;1100;500054;1009;4;1;1;920;466;466;27901;29;24;29807;554782
7295;1;0;0;1100;500054;1009;4;2;1;920;466;466;10683;10;10;12557;500054
3782;1;0;0;1100;500054;1010;5;1;1;534;259;258;15996;29;22;17099;554782
7296;1;0;0;1100;500054;1010;5;2;1;534;259;258;6063;10;10;7136;500054
3783;1;0;0;1100;500054;1011;6;1;1;1668;638;638;37765;29;29;40768;554782
7297;1;0;0;1100;500054;1011;6;2;1;1668;638;638;14434;10;10;17400;500054
3784;1;0;0;1100;500054;1012;0;1;1;792;407;407;24318;29;27;25981;554782
7298;1;0;0;1100;500054;1012;0;2;1;792;407;407;9292;10;10;10920;500054
3785;1;0;0;1100;500054;1013;1;1;1;492;248;248;14825;29;20;15863;554782
7299;1;0;0;1100;500054;1013;1;2;1;492;248;248;5652;10;10;6662;500054
3786;1;0;0;1100;500054;1014;2;1;1;1319;622;622;37291;29;28;39912;554782
