OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR
7204,500011,"Želechovice nad Dřevnicí",1,1,902,90,"POCTIVÁ OBEC ŽELECHOVICE NAD DŘEVNICÍ","POCTIVÁ OBEC ŽELECHOVICE N. D.","SNK",1,"080",4690,39.88,6
7204,500011,"Želechovice nad Dřevnicí",1,2,470,470,"SPOLEČNĚ PRO LEPŠÍ ŽELECHOVICE","SPOLEČNĚ PRO LEPŠÍ ŽELECHOVICE","STAN+NK",2,"080,166",3020,25.68,4
7204,500011,"Želechovice nad Dřevnicí",1,3,901,90,"STRANA ZA ROZVOJ OBCE","STRANA ZA ROZVOJ OBCE","SNK",1,"080",1576,13.4,2
7204,500011,"Želechovice nad Dřevnicí",1,4,371,371,"Obec pro všechny generace","Obec pro všechny generace","ČSSD+NK",2,"007,080",1532,13.02,2
7204,500011,"Želechovice nad Dřevnicí",1,5,1,1,"KDU-ČSL","KDU-ČSL","KDU-ČSL",1,"001",940,7.99,1
7105,500020,"Petrov nad Desnou",1,1,902,90,"PRO PETROV","PRO PETROV","SNK",1,"080",766,16.92,2
7105,500020,"Petrov nad Desnou",1,2,903,90,"SPOLEČNĚ POKRAČOVAT","SPOLEČNĚ POKRAČOVAT","SNK",1,"080",537,11.86,1
7105,500020,"Petrov nad Desnou",1,3,905,90,"VIZE PETROVA","VIZE PETROVA","SNK",1,"080",522,11.53,1
7105,500020,"Petrov nad Desnou",1,4,768,768,"ANO 2011","ANO 2011","ANO",1,"768",879,19.42,2
7105,500020,"Petrov nad Desnou",1,5,901,90,"SPOLEČNĚ PRO PETROV","SPOLEČNĚ PRO PETROV","SNK",1,"080",557,12.3,1
7105,500020,"Petrov nad Desnou",1,6,7,7,"Česká strana sociálně demokratická","Česká str.sociálně demokrat.","ČSSD",1,"007",332,7.33,1
7105,500020,"Petrov nad Desnou",1,7,904,90,"HASIČI PRO PETROV","HASIČI PRO PETROV","SNK",1,"080",932,20.59,3
8104,500046,"Libhošť",1,1,901,90,"Společně a otevřeně pro Libhošť","Spol. a otevřeně pro Libhošť","SNK",1,"080",5382,100,15
1100,500054,"Praha 1",1,1,371,371,"REZIDENTI 1","REZIDENTI 1","ČSSD+NK",2,"007,080",15426,7.6,2
1100,500054,"Praha 1",1,2,541,541,"Piráti a občané z Prahy 1","Piráti a občané z Prahy 1","Piráti+NK",2,"080,720",32986,16.26,4
1100,500054,"Praha 1",1,3,532,532,"Naše PRAHA 1 - ANO 2011, Staroměstská lípa – sdružení občanů a přátel Starého Města a Josefova v Praze, B’nai B’rith…","Naše PRAHA 1","ANO+NK",2,"080,768",19925,10.2,3
1100,500054,"Praha 1",1,4,524,524,"PATRIOTI PRO PRAHU 1","PATRIOTI PRO PRAHU 1","Patrioti ČR+NK",2,"080,1004",6609,3.25,0
1100,500054,"Praha 1",1,5,1373,1373,"PRAHA 1 SOBĚ","PRAHA 1 SOBĚ","PRAHA SOBĚ+NK",2,"080,1180",46372,22.86,7
1100,500054,"Praha 1",1,6,1104,1104,"My, co tady žijeme - Starostové a nezávislí, KDU-ČSL, Iniciativa občanů","My, co tady žijeme","KDU-ČSL+IO+STAN",3,"001,086,166",26673,13.15,4
1100,500054,"Praha 1",1,7,721,721,"TOP 09","TOP 09","TOP 09",1,"721",15740,7.76,2
1100,500054,"Praha 1",1,8,427,427,"Radnice pro občany","Radnice pro občany","SD-SN+NK",2,"080,143",2694,1.32,0
1100,500054,"Praha 1",1,9,53,53,"Občanská demokratická strana","Občanská demokratická strana","ODS",1,"053",36395,17.94,5
7203,500062,"Krhová",1,1,904,90,"Krhovjané","Krhovjané","SNK",1,"080",4611,36.18,6
7203,500062,"Krhová",1,2,901,90,"Krhová společně","Krhová společně","SNK",1,"080",2365,18.56,3
7203,500062,"Krhová",1,3,903,90,"Krhovjané II.","Krhovjané II.","SNK",1,"080",2838,22.27,3
7203,500062,"Krhová",1,4,902,90,"Krhová lidem","Krhová lidem","SNK",1,"080",2928,22.97,3
7203,500071,"Poličná",1,1,902,90,"RODÁCI","RODÁCI","SNK",1,"080",6398,59.61,10
7203,500071,"Poličná",1,2,904,90,"POLIČNÁ PRO ŽIVOT","POLIČNÁ PRO ŽIVOT","SNK",1,"080",855,17.07,1
7203,500071,"Poličná",1,3,901,90,"NEZÁVISLÍ PRO POLIČNOU","NEZÁVISLÍ PRO POLIČNOU","SNK",1,"080",1875,17.46,2
7203,500071,"Poličná",1,4,903,90,"Společná vize pro Poličnou","Společná vize pro Poličnou","SNK",1,"080",1605,14.95,2
1100,500089,"Praha 2",1,1,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",79371,18.52,7
1100,500089,"Praha 2",1,2,699,699,"Dvojka solidární a zelená","Dvojka solidární a zelená","KDU+Zelen.+ČSSD",3,"001,005,007",20233,4.72,0
1100,500089,"Praha 2",1,3,687,687,"ODS a TOP 09 - SPOLEČNĚ PRO Prahu 2","SPOLEČNĚ PRO Prahu 2","ODS+TOP 09",2,"053,721",152561,35.6,14
1100,500089,"Praha 2",1,4,1373,1373,"PRAHA 2 SOBĚ","PRAHA 2 SOBĚ","PRAHA SOBĚ+NK",2,"080,1180",82207,19.18,7
1100,500089,"Praha 2",1,5,1305,1305,"Hnutí SPD pro Prahu 2 s podporou Trikolory a nezávislých kandidátů","Hnutí SPD pro Prahu 2","SPD+NK",2,"080,1114",24007,5.6,2
1100,500089,"Praha 2",1,6,768,768,"ANO 2011","ANO 2011","ANO",1,"768",48733,11.37,4
1100,500089,"Praha 2",1,7,166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN",1,"166",17943,5.05,1
1100,500089,"Praha 2",1,8,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"047",3483,1.18,0
1100,500097,"Praha 3",1,1,524,524,"PATRIOTI PRO PRAHU 3","PATRIOTI PRO PRAHU 3","Patrioti ČR+NK",2,"080,1004",37137,5.55,2
1100,500097,"Praha 3",1,2,210,210,"Koalice pro Prahu 3 - ODS, KDU-ČSL","Koalice pro P3 ODS,KDU-ČSL","KDU-ČSL+ODS",2,"001,053",101468,15.17,6
1100,500097,"Praha 3",1,3,1491,1491,"Trikolora a hnutí SPD pro Prahu 3","Trikolora a hnutí SPD pro P3","SPD+Trikol+NK",3,"080,1114,1227",38892,5.81,2
1100,500097,"Praha 3",1,4,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",82161,12.28,4
1100,500097,"Praha 3",1,5,768,768,"ANO 2011","ANO 2011","ANO",1,"768",100092,14.96,6
1100,500097,"Praha 3",1,6,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"047",5760,1.25,0
1100,500097,"Praha 3",1,7,659,659,"TOP 09 + Starostové a nezávislí s podporou Žižkov (nejen) sobě","TOP 09+STAN. s pod.Žižkov sobě","TOP+STAN",2,"166,721",191031,28.56,11
1100,500097,"Praha 3",1,8,1373,1373,"PRAHA 3 SOBĚ","PRAHA 3 SOBĚ","PRAHA SOBĚ+NK",2,"080,1180",48633,7.27,2
1100,500097,"Praha 3",1,9,1580,1580,"Praha 3 pro všechny – ČSSD a Budoucnost","Praha 3 pro všechny","ČSSD+Budoucnost",2,"007,1232",18551,2.77,0
1100,500097,"Praha 3",1,10,364,364,"Zelení Praha 3","Zelení Praha 3","Zelení+NK",2,"005,080",45003,6.72,2
1100,500097,"Praha 3",1,11,1516,1516,"PRAHA BEZ CHAOSU","PRAHA BEZ CHAOSU","P bez chaosu+NK",2,"080,142",88,.46,0
4102,500101,"Bražec",1,1,902,90,"Za sjednocení Bražce","Za sjednocení Bražce","SNK",1,"080",93,13.85,1
4102,500101,"Bražec",1,2,903,90,"Moderní obec Bražec","Moderní obec Bražec","SNK",1,"080",242,36.06,3
4102,500101,"Bražec",1,3,901,90,"Spokojenost v naší obci","Spokojenost v naší obci","SNK",1,"080",68,10.13,0
4102,500101,"Bražec",1,4,904,90,"Oživme Bražec","Oživme Bražec","SNK",1,"080",96,14.3,1
4102,500101,"Bražec",1,5,905,90,"PRO OBEC","PRO OBEC","SNK",1,"080",172,25.63,2
1100,500119,"Praha 4",1,1,524,524,"Svobodní Patrioti pro Prahu 4","Svobodní Patrioti pro Prahu 4","Patrioti ČR+NK",2,"080,1004",43639,2.69,0
1100,500119,"Praha 4",1,2,371,371,"ČSSD a nezávislí: Solidarita pro Prahu 4","ČSSD a nez.: Solidarita pro P4","ČSSD+NK",2,"007,080",37343,2.3,0
1100,500119,"Praha 4",1,3,340,340,"SPOLEČNĚ PRO PRAHU 4 – STAROSTOVÉ A NEZÁVISLÍ A KDU - ČSL","SPOLEČNĚ PRO PRAHU 4","KDU-ČSL+STAN",2,"001,166",199177,12.3,6
1100,500119,"Praha 4",1,4,47,47,"KOMUNISTICKÁ STRANA ČECH A MORAVY","Komunistická str.Čech a Moravy","KSČM",1,"047",21142,2.02,0
1100,500119,"Praha 4",1,5,1545,1545,"Pražská čtyřka (P4)","Pražská čtyřka (P4)","SPD+Trik+PES+NK",4,"080,1114,1227,1244",64639,3.99,0
1100,500119,"Praha 4",1,6,768,768,"ANO 2011","ANO 2011","ANO",1,"768",327250,20.22,10
1100,500119,"Praha 4",1,7,364,364,"Praha 4 sobě – sousedé a nezávislí","Praha 4 sobě - soused. a nez.","Zelení+NK",2,"005,080",273219,16.88,8
1100,500119,"Praha 4",1,8,687,687,"SPOLEČNĚ ODS a TOP 09","SPOLEČNĚ ODS a TOP 09","ODS+TOP 09",2,"053,721",404504,24.99,13
1100,500119,"Praha 4",1,9,541,541,"Piráti a nezávislí","Piráti a nezávislí","Piráti+NK",2,"080,720",247443,15.28,8
4102,500127,"Doupovské Hradiště",1,1,901,90,"Doupovské Hradiště","Doupovské Hradiště","SNK",1,"080",413,100,7
7102,500135,"Kozlov",1,1,902,90,"ZA KOZLOV","ZA KOZLOV","SNK",1,"080",470,61.92,4
7102,500135,"Kozlov",1,2,901,90,"SLAVKOVÁCI","SLAVKOVÁCI","SNK",1,"080",289,38.07,3
1100,500143,"Praha 5",1,1,1547,1547,"„Solidarita pro Prahu 5“ Koalice ČSSD a Živá Praha 5, Společnosti pro ochranu Prokopského a Dalejského údolí a nez. kan.","„Solidarita pro Prahu 5“","ČSSD+ŽP5",2,"007,1199",27935,2.85,0
1100,500143,"Praha 5",1,2,1305,1305,"Svoboda a přímá demokracie (SPD) s podporou Trikolory","SPD s podporou Trikolory","SPD+NK",2,"080,1114",46819,4.78,0
1100,500143,"Praha 5",1,3,166,166,"STAROSTOVÉ A NEZÁVISLÍ","STAROSTOVÉ A NEZÁVISLÍ","STAN",1,"166",68285,6.98,3
1100,500143,"Praha 5",1,4,901,90,"PRAHA 5 SOBĚ","PRAHA 5 SOBĚ","SNK",1,"080",209131,21.38,10
1100,500143,"Praha 5",1,5,303,303,"KDU-ČSL, Zelení a Nezávislí","KDU-ČSL, Zelení a Nezávislí","KDU-ČSL+Zelení",2,"001,005",41873,4.28,0
1100,500143,"Praha 5",1,6,1546,1546,"Koalice SEN 21 pro Prahu 5 se senátorem Václavem Láskou a Společnosti proti developerské výstavbě v Prokopském údolí","Koalice SEN 21 pro Prahu 5","SPDV+SEN 21",2,"1041,1187",105102,11.01,5
1100,500143,"Praha 5",1,7,687,687,"SPOLEČNĚ PRO PRAHU 5 (ODS, TOP 09)","SPOLEČNĚ PRO PRAHU 5","ODS+TOP 09",2,"053,721",208605,21.32,10
1100,500143,"Praha 5",1,8,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",114871,11.74,6
1100,500143,"Praha 5",1,9,714,714,"Svobodní","Svobodní","Svobodní",1,"714",8502,1.14,0
1100,500143,"Praha 5",1,10,1516,1516,"PRAHA BEZ CHAOSU","PRAHA BEZ CHAOSU","P bez chaosu+NK",2,"080,142",5149,.61,0
1100,500143,"Praha 5",1,11,1537,1537,"PŘÍSAHA a SNOP 5","PŘÍSAHA a SNOP 5","PŘÍSAHA+NK",2,"080,1245",6337,.64,0
1100,500143,"Praha 5",1,12,768,768,"ANO 2011","ANO 2011","ANO",1,"768",135445,13.84,7
7104,500151,"Luboměř pod Strážnou",1,1,902,90,"Luboměř 2022","Luboměř 2022","SNK",1,"080",336,60,4
7104,500151,"Luboměř pod Strážnou",1,2,901,90,"Společně za Luboměř pod Strážnou","Společně za Luboměř p. Stráž.","SNK",1,"080",224,40,3
7102,500160,"Město Libavá",1,1,902,90,"NEZÁVISLÁ LIBAVÁ","NEZÁVISLÁ LIBAVÁ","SNK",1,"080",889,36.96,4
7102,500160,"Město Libavá",1,2,904,90,"OBČANÉ „za změnu“","OBČANÉ „za změnu“","SNK",1,"080",513,21.33,2
7102,500160,"Město Libavá",1,3,903,90,"Zelená pro Libavou","Zelená pro Libavou","SNK",1,"080",607,25.23,2
7102,500160,"Město Libavá",1,4,901,90,"ZA NOVÉ LIBAVSKO","ZA NOVÉ LIBAVSKO","SNK",1,"080",396,16.46,1
1100,500178,"Praha 6",1,1,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",210728,13.76,7
1100,500178,"Praha 6",1,2,1491,1491,"Trikolora, hnutí SPD a nezávislí kandidáti pro Prahu 6","Trikolora, SPD a NK pro P6","SPD+Trikol+NK",3,"080,1114,1227",81443,5.31,2
1100,500178,"Praha 6",1,3,47,47,"Komunistická strana Čech a Moravy","Komunistická str.Čech a Moravy","KSČM",1,"047",24577,1.6,0
1100,500178,"Praha 6",1,4,1373,1373,"PRAHA 6 SOBĚ","PRAHA 6 SOBĚ","PRAHA SOBĚ+NK",2,"080,1180",195058,12.73,6
1100,500178,"Praha 6",1,5,233,233,"Solidarita pro Prahu 6 – koalice ČSSD, strany Levice a nestraníků","Solidarita pro Prahu 6","ČSSD+Levice",2,"007,074",40980,2.67,0
1100,500178,"Praha 6",1,6,210,210,"Koalice ODS a KDU-ČSL","Koalice ODS a KDU-ČSL","KDU-ČSL+ODS",2,"001,053",333431,21.77,11
1100,500178,"Praha 6",1,7,1584,1584,"PATRIOTI PRO PRAHU 6","PATRIOTI PRO PRAHU 6","PbezchaSvobPaČR",3,"142,714,1004",34487,2.25,0
1100,500178,"Praha 6",1,8,721,721,"TOP 09","TOP 09","TOP 09",1,"721",225097,14.69,7
1100,500178,"Praha 6",1,9,1585,1585,"STAN s podporou Zelených","STAN s podporou Zelených","Zelení+STAN",2,"005,166",199126,13,6
1100,500178,"Praha 6",1,10,768,768,"ANO 2011","ANO 2011","ANO",1,"768",186380,12.73,6
1100,500186,"Praha 7",1,1,364,364,"ZELENÍ a nezávislí","ZELENÍ a nezávislí","Zelení+NK",2,"005,080",13423,3.56,0
1100,500186,"Praha 7",1,2,720,720,"Česká pirátská strana","Česká pirátská strana","Piráti",1,"720",29016,7.69,2
1100,500186,"Praha 7",1,3,768,768,"ANO 2011","ANO 2011","ANO",1,"768",51359,13.62,4
