OKRES;KODZASTUP;NAZEVZAST;COBVODU;POR_STR_HL;OSTRANA;VSTRANA;NAZEVCELK;ZKRATKAO30;ZKRATKAO8;POCSTR_SLO;SLOZENI;HLASY_STR;PROCHLSTR;MAND_STR
7204;500011;"elechovice nad Døevnicí";1;1;166;166;"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAN";1;"166";6152;55.95;9
7204;500011;"elechovice nad Døevnicí";1;2;371;371;"Obec pro všechny";"Obec pro všechny";"";2;"007,080";1503;13.67;2
7204;500011;"elechovice nad Døevnicí";1;3;143;143;"Spojení demokraté - Sdruení nezávislıch";"Spojení demokraté-Sdru.nezáv.";"SD-SN";1;"143";2095;19.05;3
7204;500011;"elechovice nad Døevnicí";1;4;1;1;"Køesanská a demokratická unie - Èeskoslovenská strana lidová";"Køes.demokr.unie-Ès.str.lid.";"KDU-ÈSL";1;"001";1244;11.31;1
7105;500020;"Petrov nad Desnou";1;1;901;90;"HASIÈI PRO PETROV";"HASIÈI PRO PETROV";"SNK";1;"080";1539;33.83;4
7105;500020;"Petrov nad Desnou";1;2;7;7;"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";437;9.6;1
7105;500020;"Petrov nad Desnou";1;3;904;90;"PRO PETROV";"PRO PETROV";"SNK";1;"080";720;15.82;2
7105;500020;"Petrov nad Desnou";1;4;903;90;"SPOLEÈNÌ PRO PETROV";"SPOLEÈNÌ PRO PETROV";"SNK";1;"080";1035;22.75;2
7105;500020;"Petrov nad Desnou";1;5;902;90;"SPOLEÈNÌ POKRAÈOVAT";"SPOLEÈNÌ POKRAÈOVAT";"SNK";1;"080";818;17.98;2
8104;500046;"Libhoš";1;1;901;90;"Nezávislí pro Libhoš";"Nezávislí pro Libhoš";"SNK";1;"080";5507;39.98;6
8104;500046;"Libhoš";1;2;902;90;"Spoleènì a otevøenì pro Libhoš";"Spoleènì a otevø. pro Libhoš";"SNK";1;"080";8265;60.01;9
1100;500054;"Praha 1";1;1;1114;1114;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)";"Svob.a pø.dem.-T.Okamura (SPD)";"SPD";1;"1114";3448;3.29;0
1100;500054;"Praha 1";1;2;720;720;"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";34047;15.59;4
1100;500054;"Praha 1";1;3;364;364;"ZELENÁ PRO JEDNIÈKU";"ZELENÁ PRO JEDNIÈKU";"Zelení+NK";2;"005,080";11295;5.17;1
1100;500054;"Praha 1";1;4;768;768;"ANO 2011";"ANO 2011";"ANO";1;"768";17862;8.18;2
1100;500054;"Praha 1";1;5;7;7;"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";7941;3.63;0
1100;500054;"Praha 1";1;6;1373;1373;"PRAHA 1 SOBÌ";"PRAHA 1 SOBÌ";"PRAHA SOBÌ+NK";2;"080,1180";46396;21.25;6
1100;500054;"Praha 1";1;7;551;551;"STAROSTOVÉ PRO PRAHU";"STAROSTOVÉ PRO PRAHU";"";2;"080,791";4282;1.96;0
1100;500054;"Praha 1";1;8;53;53;"Obèanská demokratická strana";"Obèanská demokratická strana";"ODS";1;"053";39008;17.87;5
1100;500054;"Praha 1";1;9;721;721;"TOP 09";"TOP 09";"TOP 09";1;"721";25968;12.39;3
1100;500054;"Praha 1";1;10;1104;1104;"Starostové a nezávislí, KDU - ÈSL, Iniciativa Obèanù - MY, CO TADY IJEME s podporou LES,";"STAN, KDU - ÈSL, Inic. Obèanù";"";3;"001,086,166";28020;12.83;4
7203;500062;"Krhová";1;1;903;90;"KRHOVÁ 2018";"KRHOVÁ 2018";"SNK";1;"080";2932;25.54;4
7203;500062;"Krhová";1;2;902;90;"Krhovjané I.";"Krhovjané I.";"SNK";1;"080";5609;48.87;7
7203;500062;"Krhová";1;3;901;90;"Krhovjané II.";"Krhovjané II.";"SNK";1;"080";2935;25.57;4
7203;500071;"Polièná";1;1;904;90;"NEZÁVISLÍ PRO POLIÈNOU";"NEZÁVISLÍ PRO POLIÈNOU";"SNK";1;"080";2761;22.02;3
7203;500071;"Polièná";1;2;902;90;"Spoleèná vize pro Poliènou";"Spoleèná vize pro Poliènou";"SNK";1;"080";1631;13.01;2
7203;500071;"Polièná";1;3;903;90;"RODÁCI";"RODÁCI";"SNK";1;"080";6087;48.55;8
7203;500071;"Polièná";1;4;901;90;"POLIÈNÁ PRO IVOT";"POLIÈNÁ PRO IVOT";"SNK";1;"080";2057;16.4;2
1100;500089;"Praha 2";1;1;1345;1345;"DVOJKA SOBÌ - koalice Strany zelenıch, KDU-ÈSL, ÈSSD a nezávislıch kandidátù";"KDU-ÈSL,Zelení, ÈSSD a NK";"KDU+Zel+ÈSSD+NK";4;"001,005,007,080";53770;11.39;4
1100;500089;"Praha 2";1;2;721;721;"TOP 09";"TOP 09";"TOP 09";1;"721";51891;10.99;4
1100;500089;"Praha 2";1;3;53;53;"Obèanská demokratická strana";"Obèanská demokratická strana";"ODS";1;"053";152626;32.33;13
1100;500089;"Praha 2";1;4;720;720;"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";91673;19.42;7
1100;500089;"Praha 2";1;5;1181;1181;"Obèané za spokojené bydlení";"Obèané za spokojené bydlení";"OSB";1;"1181";26971;5.71;2
1100;500089;"Praha 2";1;6;768;768;"ANO 2011";"ANO 2011";"ANO";1;"768";46583;9.87;3
1100;500089;"Praha 2";1;7;1393;1393;"SVOBODNÍ A STAROSTOVÉ PRO PRAHU";"SVOBOD. A STAROSTOVÉ PRO PRAHU";"Svobodní+HPP+NK";3;"080,714,791";6402;1.43;0
1100;500089;"Praha 2";1;8;470;470;"Starostové a nezávislí (politické hnutí STAN a nezávislí kandidáti)";"Starostové a nezávislí";"";2;"080,166";29659;6.46;2
1100;500089;"Praha 2";1;9;47;47;"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";12385;2.62;0
1100;500097;"Praha 3";1;1;411;411;"Volba pro mìsto - Nezávislí kandidáti";"Volba pro mìsto - NK";"";2;"080,113";24260;3.4;0
1100;500097;"Praha 3";1;2;47;47;"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";24829;3.48;0
1100;500097;"Praha 3";1;3;1114;1114;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)";"Svob.a pø.dem.-T.Okamura (SPD)";"SPD";1;"1114";28012;3.92;0
1100;500097;"Praha 3";1;4;768;768;"ANO 2011";"ANO 2011";"ANO";1;"768";89312;12.51;5
