KRAJ;OKRES;TYPZASTUP;DRUHZASTUP;KODZASTUP;NAZEVZAST;OBEC;NAZEVOBCE;ORP;CPOU;REGURAD;OBVODY;COBVODU;MANDATY;POCOBYV;MINOKRSEK1;MAXOKRSEK1;MINOKRSEK2;MAXOKRSEK2;MINOKRSEK3;MAXOKRSEK3;MINOKRSEK4;MAXOKRSEK4;MINOKRSEK5;MAXOKRSEK5;MINOKRSEK6;MAXOKRSEK6;MINOKRSEK7;MAXOKRSEK7;MINOKRSEK8;MAXOKRSEK8;MINOKRSEK9;MAXOKRSEK9;MINOKRSE10;MAXOKRSE10;TYPDUVODU;POCET_VS;STAV_OBCE
7200;7204;1;1;500011;"éelechovice nad D¯evnicÌ";500011;"éelechovice nad D¯evnicÌ";7213;662;585068;0;1;15;1855;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
7100;7105;1;1;500020;"Petrov nad Desnou";500020;"Petrov nad Desnou";7111;860;523704;0;1;11;1196;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0
8100;8104;1;1;500046;"Libhoöù";500046;"Libhoöù";8115;792;599191;0;1;15;1661;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
1100;1100;2;5;500054;"Praha 1";500054;"Praha 1";1000;1;500054;0;1;25;29499;1001;1021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0
7200;7203;1;1;500062;"Krhov·";500062;"Krhov·";7210;871;545058;0;1;15;2013;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
7200;7203;1;1;500071;"PoliËn·";500071;"PoliËn·";7210;871;545058;0;1;15;1736;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
1100;1100;2;5;500089;"Praha 2";500089;"Praha 2";1000;2;500089;0;1;35;49624;2001;2045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0
1100;1100;2;5;500097;"Praha 3";500097;"Praha 3";1000;3;500097;0;1;35;74559;3001;3052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0
4100;4102;1;1;500101;"Braûec";500101;"Braûec";4103;308;554961;0;1;7;221;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
1100;1100;2;5;500119;"Praha 4";500119;"Praha 4";1000;4;500119;0;1;45;128455;4001;4132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0
4100;4102;1;1;500127;"DoupovskÈ HradiötÏ";500127;"DoupovskÈ HradiötÏ";4106;310;555428;0;1;7;160;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
7100;7102;1;1;500135;"Kozlov";500135;"Kozlov";7107;803;500496;0;1;7;233;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
1100;1100;2;5;500143;"Praha 5";500143;"Praha 5";1000;11;500143;0;1;43;85276;5001;5081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0
7100;7104;1;1;500151;"LubomÏ¯ pod Str·ûnou";500151;"LubomÏ¯ pod Str·ûnou";7101;848;513750;0;1;7;115;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
7100;7102;1;1;500160;"MÏsto Libav·";500160;"MÏsto Libav·";7110;804;505188;0;1;9;603;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
1100;1100;2;5;500178;"Praha 6";500178;"Praha 6";1000;21;500178;0;1;45;104356;6001;6104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0
1100;1100;2;5;500186;"Praha 7";500186;"Praha 7";1000;27;500186;0;1;29;44034;7001;7036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0
3100;3102;1;1;500194;"Poln· na äumavÏ";500194;"Poln· na äumavÏ";3103;225;545392;0;1;7;201;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
1100;1100;2;5;500208;"Praha 8";500208;"Praha 8";1000;29;500208;0;1;45;105145;8001;8108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0
1100;1100;2;5;500216;"Praha 9";500216;"Praha 9";1000;33;500216;1;3;33;58050;9001;9042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0
1100;1100;2;5;500216;"Praha 9";500216;"Praha 9";1000;33;500216;2;1;11;58050;9007;9007;9030;9042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0
1100;1100;2;5;500216;"Praha 9";500216;"Praha 9";1000;33;500216;2;2;9;58050;9018;9029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0
1100;1100;2;5;500216;"Praha 9";500216;"Praha 9";1000;33;500216;2;3;13;58050;9001;9006;9008;9017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0
1100;1100;2;5;500224;"Praha 10";500224;"Praha 10";1000;46;500224;0;1;45;109790;10001;10109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0
8100;8104;1;1;500259;"Ve¯ovice";500259;"Ve¯ovice";8105;789;599344;0;1;13;2000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
8100;8106;1;1;500291;"V¯esina";500291;"V¯esina";8119;844;554821;0;1;15;2932;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0
7100;7102;1;3;500496;"Olomouc";500496;"Olomouc";7107;803;500496;0;1;45;100494;1;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;0
7100;7102;1;1;500526;"BÏlkovice-Laöùany";500526;"BÏlkovice-Laöùany";7107;803;500496;0;1;15;2295;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
7100;7102;1;1;500623;"BÌl· Lhota";500623;"BÌl· Lhota";7105;802;503444;0;1;15;1126;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
7100;7102;1;1;500801;"Blatec";500801;"Blatec";7107;803;500496;0;1;7;647;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
7100;7102;1;1;500852;"BohuÚovice";500852;"BohuÚovice";7107;803;500496;0;1;15;2507;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
7100;7102;1;1;500861;"Bouzov";500861;"Bouzov";7105;802;503444;0;1;15;1525;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
7100;7102;1;1;500879;"BystroËice";500879;"BystroËice";7107;803;500496;0;1;7;818;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
4200;4207;2;5;501298;"⁄stÌ nad Labem-SevernÌ Terasa";501298;"⁄stÌ nad Labem-SevernÌ Terasa";4214;462;501298;0;1;15;19579;3001;3020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0
7100;7102;1;1;501476;"Dlouh· LouËka";501476;"Dlouh· LouËka";7112;805;505587;0;1;15;1925;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0
7100;7102;1;1;501646;"Dolany";501646;"Dolany";7107;803;500496;0;1;15;2732;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
7100;7102;1;1;501751;"Drahanovice";501751;"Drahanovice";7107;803;500496;0;1;15;1687;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0
7100;7102;1;6;501794;"Dub nad Moravou";501794;"Dub nad Moravou";7107;803;500496;0;1;15;1618;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
7100;7102;1;1;501841;"Grygov";501841;"Grygov";7107;803;500496;0;1;9;1513;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
4200;4207;2;5;502081;"⁄stÌ nad Labem-NeötÏmice";502081;"⁄stÌ nad Labem-NeötÏmice";4214;462;502081;0;1;15;23360;2001;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0
7100;7102;1;1;502146;"HluboËky";502146;"HluboËky";7107;801;502146;0;1;15;4245;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0
7100;7102;1;1;502235;"HnÏvotÌn";502235;"HnÏvotÌn";7107;803;500496;0;1;9;1823;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
